# Baseline dpkg manifest of the agent base image (AGENT_BASE_IMAGE).
#
# Captured with:
#   make capture-base-packages
#
# collect-sources.sh diffs the built image against this file to determine
# which packages the image adds, and fetches source for those.
#
# Format: <package>\t<version>\t<source-package>\t<source-version>
adduser	3.137ubuntu1	adduser	3.137ubuntu1
gpgv	2.4.4-2ubuntu17.3	gnupg2	2.4.4-2ubuntu17.3
grep	3.11-4build1	grep	3.11-4build1
gzip	1.12-1ubuntu3.1	gzip	1.12-1ubuntu3.1
hostname	3.23+nmu2ubuntu2	hostname	3.23+nmu2ubuntu2
hwdata	0.379-1	hwdata	0.379-1
ibverbs-providers	56.0-1	rdma-core	56.0-1
ibverbs-utils	56.0-1	rdma-core	56.0-1
init-system-helpers	1.66ubuntu1	init-system-helpers	1.66ubuntu1
jq	1.7.1-3ubuntu0.24.04.1	jq	1.7.1-3ubuntu0.24.04.1
keyboxd	2.4.4-2ubuntu17.3	gnupg2	2.4.4-2ubuntu17.3
less	590-2ubuntu2.1	less	590-2ubuntu2.1
libacl1	2.3.2-1build1.1	acl	2.3.2-1build1.1
libapt-pkg6.0t64	2.8.3	apt	2.8.3
libasan8	14.2.0-4ubuntu2~24.04	gcc-14	14.2.0-4ubuntu2~24.04
libassuan0	2.5.6-1build1	libassuan	2.5.6-1build1
libatomic1	14.2.0-4ubuntu2~24.04	gcc-14	14.2.0-4ubuntu2~24.04
libattr1	1:2.5.2-1build1.1	attr	1:2.5.2-1build1.1
libaudit-common	1:3.1.2-2.1build1.1	audit	1:3.1.2-2.1build1.1
libaudit1	1:3.1.2-2.1build1.1	audit	1:3.1.2-2.1build1.1
libbinutils	2.42-4ubuntu2.6	binutils	2.42-4ubuntu2.6
libblkid1	2.39.3-9ubuntu6.3	util-linux	2.39.3-9ubuntu6.3
libbrotli1	1.1.0-2build2	brotli	1.1.0-2build2
libbsd0	0.12.1-1build1.1	libbsd	0.12.1-1build1.1
libbz2-1.0	1.0.8-5.1build0.1	bzip2	1.0.8-5.1build0.1
libc-bin	2.39-0ubuntu8.6	glibc	2.39-0ubuntu8.6
libc-dev-bin	2.39-0ubuntu8.6	glibc	2.39-0ubuntu8.6
libc6	2.39-0ubuntu8.6	glibc	2.39-0ubuntu8.6
libc6-dev	2.39-0ubuntu8.6	glibc	2.39-0ubuntu8.6
libcap-ng0	0.8.4-2build2	libcap-ng	0.8.4-2build2
libcap2	1:2.66-5ubuntu2.2	libcap2	1:2.66-5ubuntu2.2
libcbor0.10	0.10.2-1.2ubuntu2	libcbor	0.10.2-1.2ubuntu2
libcc1-0	14.2.0-4ubuntu2~24.04	gcc-14	14.2.0-4ubuntu2~24.04
libcom-err2	1.47.0-2.4~exp1ubuntu4.1	e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
libcrypt-dev	1:4.4.36-4build1	libxcrypt	1:4.4.36-4build1
libcrypt1	1:4.4.36-4build1	libxcrypt	1:4.4.36-4build1
libctf-nobfd0	2.42-4ubuntu2.6	binutils	2.42-4ubuntu2.6
libctf0	2.42-4ubuntu2.6	binutils	2.42-4ubuntu2.6
libcublas-13-0	13.1.0.3-1	libcublas	13.1.0.3-1
libcublas-dev-13-0	13.1.0.3-1	libcublas	13.1.0.3-1
libcudnn9-cuda-13	9.15.0.58-1	cudnn	9.15.0.58-1
libcudnn9-dev-cuda-13	9.15.0.58-1	cudnn	9.15.0.58-1
libcudnn9-headers-cuda-13	9.15.0.58-1	cudnn	9.15.0.58-1
libcufft-13-0	12.0.0.61-1	libcufft	12.0.0.61-1
libcufft-dev-13-0	12.0.0.61-1	libcufft	12.0.0.61-1
libcufile-13-0	1.15.1.6-1	libcufile	1.15.1.6-1
libcufile-dev-13-0	1.15.1.6-1	libcufile	1.15.1.6-1
libcurand-13-0	10.4.0.35-1	libcurand	10.4.0.35-1
libcurand-dev-13-0	10.4.0.35-1	libcurand	10.4.0.35-1
libcurl3t64-gnutls	8.5.0-2ubuntu10.6	curl	8.5.0-2ubuntu10.6
libcurl4t64	8.5.0-2ubuntu10.6	curl	8.5.0-2ubuntu10.6
libcusolver-13-0	12.0.4.66-1	libcusolver	12.0.4.66-1
libcusolver-dev-13-0	12.0.4.66-1	libcusolver	12.0.4.66-1
libcusparse-13-0	12.6.3.3-1	libcusparse	12.6.3.3-1
libcusparse-dev-13-0	12.6.3.3-1	libcusparse	12.6.3.3-1
libcusparselt0-cuda-13	0.8.1.1-1	libcusparse-lt	0.8.1.1-1
libcusparselt0-dev-cuda-13	0.8.1.1-1	libcusparse-lt	0.8.1.1-1
libdb5.3t64	5.3.28+dfsg2-7	db5.3	5.3.28+dfsg2-7
libdbus-1-3	1.14.10-4ubuntu4.1	dbus	1.14.10-4ubuntu4.1
libdbus-1-dev	1.14.10-4ubuntu4.1	dbus	1.14.10-4ubuntu4.1
libdebconfclient0	0.271ubuntu3	cdebconf	0.271ubuntu3
libdpkg-perl	1.22.6ubuntu6.5	dpkg	1.22.6ubuntu6.5
libedit2	3.1-20230828-1build1	libedit	3.1-20230828-1build1
libelf1t64	0.190-1.1ubuntu0.1	elfutils	0.190-1.1ubuntu0.1
liberror-perl	0.17029-2	liberror-perl	0.17029-2
libexpat1	2.6.1-2ubuntu0.3	expat	2.6.1-2ubuntu0.3
libext2fs2t64	1.47.0-2.4~exp1ubuntu4.1	e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
libfabric-aws-bin	2.1.0amzn5.0	libfabric	2.1.0amzn5.0
libfabric-aws-dev	2.1.0amzn5.0	libfabric	2.1.0amzn5.0
libfabric1-aws	2.1.0amzn5.0	libfabric	2.1.0amzn5.0
libffi8	3.4.6-1build1	libffi	3.4.6-1build1
libfido2-1	1.14.0-1build3	libfido2	1.14.0-1build3
libgcc-13-dev	13.3.0-6ubuntu2~24.04	gcc-13	13.3.0-6ubuntu2~24.04
libgcc-s1	14.2.0-4ubuntu2~24.04	gcc-14	14.2.0-4ubuntu2~24.04
libgcrypt20	1.10.3-2build1	libgcrypt20	1.10.3-2build1
libgdbm-compat4t64	1.23-5.1build1	gdbm	1.23-5.1build1
libgdbm6t64	1.23-5.1build1	gdbm	1.23-5.1build1
libgdrapi	2.5.1	libgdrapi	2.5.1
libglib2.0-0t64	2.80.0-6ubuntu3.4	glib2.0	2.80.0-6ubuntu3.4
libgmp10	2:6.3.0+dfsg-2ubuntu6.1	gmp	2:6.3.0+dfsg-2ubuntu6.1
libgnutls30t64	3.8.3-1.1ubuntu3.4	gnutls28	3.8.3-1.1ubuntu3.4
libgomp1	14.2.0-4ubuntu2~24.04	gcc-14	14.2.0-4ubuntu2~24.04
libgpg-error0	1.47-3build2.1	libgpg-error	1.47-3build2.1
libgpm2	1.20.7-11	gpm	1.20.7-11
libgprofng0	2.42-4ubuntu2.6	binutils	2.42-4ubuntu2.6
libgssapi-krb5-2	1.20.1-6ubuntu2.6	krb5	1.20.1-6ubuntu2.6
libhogweed6t64	3.9.1-2.2build1.1	nettle	3.9.1-2.2build1.1
libhwasan0	14.2.0-4ubuntu2~24.04	gcc-14	14.2.0-4ubuntu2~24.04
libhwloc15	2.10.0-1build1	hwloc	2.10.0-1build1
libibumad-dev	56.0-1	rdma-core	56.0-1
libibumad3	56.0-1	rdma-core	56.0-1
libibverbs-dev	56.0-1	rdma-core	56.0-1
libibverbs1	56.0-1	rdma-core	56.0-1
libidn2-0	2.3.7-2build1.1	libidn2	2.3.7-2build1.1
libisl23	0.26-3build1.1	isl	0.26-3build1.1
libitm1	14.2.0-4ubuntu2~24.04	gcc-14	14.2.0-4ubuntu2~24.04
libjansson4	2.14-2build2	jansson	2.14-2build2
libjq1	1.7.1-3ubuntu0.24.04.1	jq	1.7.1-3ubuntu0.24.04.1
libk5crypto3	1.20.1-6ubuntu2.6	krb5	1.20.1-6ubuntu2.6
libkeyutils1	1.6.3-3build1	keyutils	1.6.3-3build1
libkmod2	31+20240202-2ubuntu7.1	kmod	31+20240202-2ubuntu7.1
libkrb5-3	1.20.1-6ubuntu2.6	krb5	1.20.1-6ubuntu2.6
libkrb5support0	1.20.1-6ubuntu2.6	krb5	1.20.1-6ubuntu2.6
libksba8	1.6.6-1build1	libksba	1.6.6-1build1
libldap2	2.6.7+dfsg-1~exp1ubuntu8.2	openldap	2.6.7+dfsg-1~exp1ubuntu8.2
liblsan0	14.2.0-4ubuntu2~24.04	gcc-14	14.2.0-4ubuntu2~24.04
liblz4-1	1.9.4-1build1.1	lz4	1.9.4-1build1.1
liblzma5	5.6.1+really5.4.5-1ubuntu0.2	xz-utils	5.6.1+really5.4.5-1ubuntu0.2
libmd0	1.1.0-2build1.1	libmd	1.1.0-2build1.1
libmount1	2.39.3-9ubuntu6.3	util-linux	2.39.3-9ubuntu6.3
libmpc3	1.3.1-1build1.1	mpclib3	1.3.1-1build1.1
libmpfr6	4.2.1-1build1.1	mpfr4	4.2.1-1build1.1
libnccl-dev	2.28.8-1+cuda13.0	nccl	2.28.8-1+cuda13.0
libnccl2	2.28.8-1+cuda13.0	nccl	2.28.8-1+cuda13.0
libncurses6	6.4+20240113-1ubuntu2	ncurses	6.4+20240113-1ubuntu2
libncursesw6	6.4+20240113-1ubuntu2	ncurses	6.4+20240113-1ubuntu2
libnettle8t64	3.9.1-2.2build1.1	nettle	3.9.1-2.2build1.1
libnghttp2-14	1.59.0-1ubuntu0.2	nghttp2	1.59.0-1ubuntu0.2
libnl-3-200	3.7.0-0.3build1.1	libnl3	3.7.0-0.3build1.1
libnl-3-dev	3.7.0-0.3build1.1	libnl3	3.7.0-0.3build1.1
libnl-route-3-200	3.7.0-0.3build1.1	libnl3	3.7.0-0.3build1.1
libnl-route-3-dev	3.7.0-0.3build1.1	libnl3	3.7.0-0.3build1.1
libnpp-13-0	13.0.1.2-1	libnpp	13.0.1.2-1
libnpp-dev-13-0	13.0.1.2-1	libnpp	13.0.1.2-1
libnpth0t64	1.6-3.1build1	npth	1.6-3.1build1
libnuma-dev	2.0.18-1build1	numactl	2.0.18-1build1
libnuma1	2.0.18-1build1	numactl	2.0.18-1build1
libnvfatbin-13-0	13.0.85-1	libnvfatbin	13.0.85-1
libnvinfer-bin	10.14.1.48-1+cuda13.0	tensorrt	10.14.1.48-1+cuda13.0
libnvinfer-dev	10.14.1.48-1+cuda13.0	tensorrt	10.14.1.48-1+cuda13.0
libnvinfer-dispatch-dev	10.14.1.48-1+cuda13.0	tensorrt	10.14.1.48-1+cuda13.0
libnvinfer-dispatch10	10.14.1.48-1+cuda13.0	tensorrt	10.14.1.48-1+cuda13.0
libnvinfer-headers-dev	10.14.1.48-1+cuda13.0	tensorrt	10.14.1.48-1+cuda13.0
libnvinfer-headers-plugin-dev	10.14.1.48-1+cuda13.0	tensorrt	10.14.1.48-1+cuda13.0
libnvinfer-headers-python-plugin-dev	10.14.1.48-1+cuda13.0	tensorrt	10.14.1.48-1+cuda13.0
libnvinfer-lean-dev	10.14.1.48-1+cuda13.0	tensorrt	10.14.1.48-1+cuda13.0
libnvinfer-lean10	10.14.1.48-1+cuda13.0	tensorrt	10.14.1.48-1+cuda13.0
libnvinfer-plugin-dev	10.14.1.48-1+cuda13.0	tensorrt	10.14.1.48-1+cuda13.0
libnvinfer-plugin10	10.14.1.48-1+cuda13.0	tensorrt	10.14.1.48-1+cuda13.0
libnvinfer-vc-plugin-dev	10.14.1.48-1+cuda13.0	tensorrt	10.14.1.48-1+cuda13.0
libnvinfer-vc-plugin10	10.14.1.48-1+cuda13.0	tensorrt	10.14.1.48-1+cuda13.0
libnvinfer-win-builder-resource10	10.14.1.48-1+cuda13.0	tensorrt	10.14.1.48-1+cuda13.0
libnvinfer10	10.14.1.48-1+cuda13.0	tensorrt	10.14.1.48-1+cuda13.0
libnvjitlink-13-0	13.0.88-1	libnvjitlink	13.0.88-1
libnvjitlink-dev-13-0	13.0.88-1	libnvjitlink	13.0.88-1
libnvjpeg-13-0	13.0.1.86-1	libnvjpeg	13.0.1.86-1
libnvjpeg-dev-13-0	13.0.1.86-1	libnvjpeg	13.0.1.86-1
libnvonnxparsers-dev	10.14.1.48-1+cuda13.0	tensorrt	10.14.1.48-1+cuda13.0
libnvonnxparsers10	10.14.1.48-1+cuda13.0	tensorrt	10.14.1.48-1+cuda13.0
libnvptxcompiler-13-0	13.0.88-1	libnvptxcompiler	13.0.88-1
libnvshmem3-cuda-13	3.4.5-1	libnvshmem	3.4.5-1
libnvvm-13-0	13.0.88-1	libnvvm	13.0.88-1
libonig5	6.9.9-1build1	libonig	6.9.9-1build1
libp11-kit0	0.25.3-4ubuntu2.1	p11-kit	0.25.3-4ubuntu2.1
libpam-modules	1.5.3-5ubuntu5.5	pam	1.5.3-5ubuntu5.5
libpam-modules-bin	1.5.3-5ubuntu5.5	pam	1.5.3-5ubuntu5.5
libpam-runtime	1.5.3-5ubuntu5.5	pam	1.5.3-5ubuntu5.5
libpam0g	1.5.3-5ubuntu5.5	pam	1.5.3-5ubuntu5.5
libpcap0.8-dev	1.10.4-4.1ubuntu3	libpcap	1.10.4-4.1ubuntu3
libpcap0.8t64	1.10.4-4.1ubuntu3	libpcap	1.10.4-4.1ubuntu3
libpci3	1:3.10.0-2build1	pciutils	1:3.10.0-2build1
libpcre2-8-0	10.42-4ubuntu2.1	pcre2	10.42-4ubuntu2.1
libperl5.38t64	5.38.2-3.2ubuntu0.2	perl	5.38.2-3.2ubuntu0.2
libpkgconf3	1.8.1-2build1	pkgconf	1.8.1-2build1
libpmi2-0-dev	23.11.4-1.2ubuntu5	slurm-wlm	23.11.4-1.2ubuntu5
libpmi2-0t64	23.11.4-1.2ubuntu5	slurm-wlm	23.11.4-1.2ubuntu5
libproc2-0	2:4.0.4-4ubuntu3.2	procps	2:4.0.4-4ubuntu3.2
libpsl5t64	0.21.2-1.1build1	libpsl	0.21.2-1.1build1
libpython3.12-minimal	3.12.3-1ubuntu0.8	python3.12	3.12.3-1ubuntu0.8
libpython3.12-stdlib	3.12.3-1ubuntu0.8	python3.12	3.12.3-1ubuntu0.8
libpython3.12t64	3.12.3-1ubuntu0.8	python3.12	3.12.3-1ubuntu0.8
libquadmath0	14.2.0-4ubuntu2~24.04	gcc-14	14.2.0-4ubuntu2~24.04
librdmacm-dev	56.0-1	rdma-core	56.0-1
librdmacm1	56.0-1	rdma-core	56.0-1
libreadline8t64	8.2-4build1	readline	8.2-4build1
librtmp1	2.4+20151223.gitfa8646d.1-2build7	rtmpdump	2.4+20151223.gitfa8646d.1-2build7
libsasl2-2	2.1.28+dfsg1-5ubuntu3.1	cyrus-sasl2	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules-db	2.1.28+dfsg1-5ubuntu3.1	cyrus-sasl2	2.1.28+dfsg1-5ubuntu3.1
libseccomp2	2.5.5-1ubuntu3.1	libseccomp	2.5.5-1ubuntu3.1
libselinux1	3.5-2ubuntu2.1	libselinux	3.5-2ubuntu2.1
libsemanage-common	3.5-1build5	libsemanage	3.5-1build5
libsemanage2	3.5-1build5	libsemanage	3.5-1build5
libsepol2	3.5-2build1	libsepol	3.5-2build1
libsframe1	2.42-4ubuntu2.6	binutils	2.42-4ubuntu2.6
libslurm40t64	23.11.4-1.2ubuntu5	slurm-wlm	23.11.4-1.2ubuntu5
libsmartcols1	2.39.3-9ubuntu6.3	util-linux	2.39.3-9ubuntu6.3
libsodium23	1.0.18-1build3	libsodium	1.0.18-1build3
libsqlite3-0	3.45.1-1ubuntu2.5	sqlite3	3.45.1-1ubuntu2.5
libss2	1.47.0-2.4~exp1ubuntu4.1	e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
libssh-4	0.10.6-2ubuntu0.1	libssh	0.10.6-2ubuntu0.1
libssl3t64	3.0.13-0ubuntu3.6	openssl	3.0.13-0ubuntu3.6
libstdc++-13-dev	13.3.0-6ubuntu2~24.04	gcc-13	13.3.0-6ubuntu2~24.04
libstdc++6	14.2.0-4ubuntu2~24.04	gcc-14	14.2.0-4ubuntu2~24.04
libsystemd0	255.4-1ubuntu8.10	systemd	255.4-1ubuntu8.10
libtasn1-6	4.19.0-3ubuntu0.24.04.1	libtasn1-6	4.19.0-3ubuntu0.24.04.1
libtcmalloc-minimal4t64	2.15-3build1	google-perftools	2.15-3build1
